shape,size,depth,hardware_type,Energy test,Accuracy test,Loss test
rectangle,2048.0,12.0,gpu2,2279673.5,0.11303571,2.3012402
rectangle,2048.0,14.0,cpu1,941193.375,0.11117858,2.3013225
rectangle,2048.0,14.0,gpu1,2357331.25,0.11117858,2.3013225
rectangle,2048.0,16.0,cpu1,1558910.375,0.11235714,2.3013766
rectangle,2048.0,16.0,gpu2,2719924.0,0.11235714,2.3013766
rectangle,2048.0,18.0,cpu1,2134143.25,0.11235714,2.3011067
rectangle,2048.0,18.0,gpu1,2541300.0,0.11235714,2.3011067
rectangle,2048.0,20.0,cpu1,1868664.0,0.1125,2.301269
rectangle,2048.0,20.0,gpu1,2695465.25,0.1125,2.301269
rectangle,4096.0,2.0,cpu1,641892.96875,0.90192854,0.36139062
rectangle,4096.0,2.0,gpu2,2043759.875,0.90192854,0.36139062
rectangle,4096.0,4.0,cpu1,528699.75,0.89250004,0.39348423
rectangle,4096.0,4.0,gpu1,2089927.0,0.89250004,0.39348423
rectangle,4096.0,5.0,cpu1,543850.875,0.8842857,0.43220577
rectangle,4096.0,5.0,gpu1,2152446.5,0.8842857,0.43220577
rectangle,4096.0,6.0,cpu1,785720.3125,0.87503576,0.4711058
rectangle,4096.0,6.0,gpu2,2171681.75,0.87503576,0.4711058
rectangle,4096.0,7.0,cpu2,657957.0625,0.8586072,0.55429524
rectangle,4096.0,7.0,gpu2,2253485.25,0.8586072,0.55429524
rectangle,4096.0,8.0,cpu1,639587.1875,0.8657143,0.53157294
rectangle,4096.0,8.0,gpu1,2241202.25,0.8657143,0.53157294
rectangle,4096.0,9.0,cpu1,632928.1875,0.84260714,0.61084354
rectangle,4096.0,9.0,gpu1,2312599.75,0.84260714,0.61084354
rectangle,4096.0,10.0,cpu1,624393.6875,0.8339643,0.64390475
rectangle,4096.0,10.0,gpu1,2341963.25,0.8339643,0.64390475
rectangle,4096.0,12.0,cpu1,941588.8125,0.8175,0.6914474
rectangle,4096.0,14.0,cpu1,944578.75,0.74796426,0.95115805
rectangle,4096.0,14.0,gpu1,2416286.5,0.74796426,0.95115805
rectangle,4096.0,16.0,cpu1,1069126.5,0.72760713,1.1164153
rectangle,4096.0,16.0,gpu1,2510160.75,0.72760713,1.1164153
rectangle,4096.0,18.0,cpu1,1119150.125,0.11414286,2.301035
rectangle,4096.0,18.0,gpu1,2555510.75,0.11414286,2.301035
rectangle,4096.0,20.0,cpu1,1171026.0,0.113714285,2.3009114
rectangle,4096.0,20.0,gpu1,2661480.5,0.113714285,2.3009114
rectangle,8192.0,2.0,cpu1,675605.71875,0.93557143,0.23581372
rectangle,8192.0,2.0,gpu2,2049754.875,0.93557143,0.23581372
rectangle,8192.0,3.0,gpu1,2104637.0,0.93760717,0.22614357
rectangle,8192.0,4.0,cpu2,540006.4375,0.9375,0.23035148
rectangle,8192.0,4.0,gpu2,2042060.25,0.9375,0.23035148
rectangle,8192.0,5.0,cpu1,597386.375,0.9356072,0.23691452
rectangle,8192.0,5.0,gpu1,2126137.25,0.9356072,0.23691452
rectangle,8192.0,6.0,cpu1,641480.375,0.9332857,0.24992624
rectangle,8192.0,6.0,gpu1,2176218.75,0.9332857,0.24992624
rectangle,8192.0,7.0,cpu1,700463.125,0.9301785,0.26179278
rectangle,8192.0,7.0,gpu1,2180538.5,0.9301785,0.26179278
rectangle,8192.0,8.0,cpu2,760315.0,0.92482144,0.28550747
rectangle,8192.0,8.0,gpu2,2245107.0,0.92482144,0.28550747
rectangle,8192.0,9.0,cpu1,765406.0,0.9153929,0.33442327
rectangle,8192.0,9.0,gpu1,2304922.5,0.9153929,0.33442327
rectangle,8192.0,10.0,cpu2,1232537.125,0.9129643,0.3435402
rectangle,8192.0,10.0,gpu1,2376349.0,0.9129643,0.3435402
rectangle,8192.0,12.0,cpu1,1298164.0,0.9022143,0.39767528
rectangle,8192.0,12.0,gpu2,2347053.5,0.9022143,0.39767528
rectangle,8192.0,14.0,cpu1,1349557.875,0.89507145,0.4527293
rectangle,8192.0,16.0,cpu1,1285396.375,0.8938214,0.47043717
rectangle,8192.0,16.0,gpu1,2414636.5,0.8938214,0.47043717
rectangle,8192.0,18.0,cpu1,1475541.625,0.89217854,0.48128846
rectangle,8192.0,18.0,gpu1,2569787.25,0.89217854,0.48128846
rectangle,8192.0,20.0,cpu1,1229991.875,0.8866428,0.4945171
rectangle,8192.0,20.0,gpu2,2589315.25,0.8866428,0.4945171
rectangle,16384.0,2.0,cpu1,675964.59375,0.95735717,0.15133889
rectangle,16384.0,2.0,gpu1,2050387.875,0.95735717,0.15133889
rectangle,16384.0,3.0,gpu1,2017218.375,0.95725,0.15324098
